name,company,title,email,phone,city,market,segment,category,industry,source,listing_count,contact_readiness,exclusion_reason
,190 Prosperity Way,Commercial real estate contact,,,Chatham Kent,chatham_kent,commercial,commercial_company,Commercial Real Estate,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
,195 Bothwell Street,Commercial real estate contact,,,Chatham Kent,chatham_kent,commercial,commercial_company,Commercial Real Estate,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
,324 Grand Avenue East,Commercial real estate contact,,,Chatham Kent,chatham_kent,commercial,commercial_company,Commercial Real Estate,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
,410 St Clair St,Commercial real estate contact,,,Chatham Kent,chatham_kent,commercial,commercial_company,Commercial Real Estate,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
,869 Charing Cross Road,Commercial real estate contact,,,Chatham Kent,chatham_kent,commercial,commercial_company,Commercial Real Estate,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
,Canadian Real Estate Association,Rental real estate contact,,,London | London East (East B) | London East (East D) | London East (East F) | London East (East I) | London East (East K) | London North (North B) | London North (North C) | London North (North E) | London North (North G) | London North (North I) | London North (North M) | London North (North N) | London North (North R) | Windsor,london_middlesex | windsor_essex,rental,rental_company,Rental Real Estate,listing_market_export,99,needs_contact_enrichment,listing_platform_or_industry_aggregator
Resident Manager,"Skyline, sourced by Rentals.ca",Rental real estate contact,,,London | Windsor,london_middlesex | windsor_essex,rental,property_management,Property Management,listing_market_export,10,needs_contact_enrichment,listing_platform_or_industry_aggregator
,536357 Ontario Limited,Rental real estate contact,,(519) 570-0321,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,direct_contact_available,listing_platform_or_industry_aggregator
Abbey Estates,"Boardwalk, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
Sandford Apartments,"Boardwalk, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
Villages of Hyde Park,"Boardwalk, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
Westmount Ridge,"Boardwalk, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
,"Briarlane Rental Property Management Inc, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
,"CAPREIT, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,3,needs_contact_enrichment,listing_platform_or_industry_aggregator
,"Centurion Students, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
Riddhi Patel,"Cogir Management GP, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
,"Drewlo Holdings, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,2,needs_contact_enrichment,listing_platform_or_industry_aggregator
Building Manager,"Drewlo Holdings, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,2,needs_contact_enrichment,listing_platform_or_industry_aggregator
Resident Manager,"Equiton Living , sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,2,needs_contact_enrichment,listing_platform_or_industry_aggregator
,"Homestead Land Holdings, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
Sharon,"Hume Investments Ltd, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,2,needs_contact_enrichment,listing_platform_or_industry_aggregator
Leasing Consultant,"Morguard Investments Limited, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
Building Manager,"Norquay Property Management Ltd, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
Complex Manager,"Norquay Property Management Ltd, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
Pier 4 Residential,"Pier 4 Residential, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,3,needs_contact_enrichment,listing_platform_or_industry_aggregator
Elvina,"PPG, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
Joanne S,"Strano Property Management, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,2,needs_contact_enrichment,listing_platform_or_industry_aggregator
SPM,"Strano Property Management, sourced by Rentals.ca",Rental real estate contact,,,London,london_middlesex,rental,property_management,Property Management,listing_market_export,1,needs_contact_enrichment,listing_platform_or_industry_aggregator
