name,company,title,email,phone,city,market,segment,category,industry,source,listing_count,contact_readiness
,Rent Panda,Rental real estate contact,,14374750992,Chatham-Kent | Kitchener | London | Sarnia,chatham_kent | london_middlesex | sarnia_lambton_county | waterloo_region,rental,rental_company,Rental Real Estate,listing_market_export,11,direct_contact_available
,CENTURY 21 Atria Realty Inc.,Commercial real estate contact,,,London | Thamesville | Windsor,chatham_kent | london_middlesex | windsor_essex,commercial,commercial_company,Commercial Real Estate,listing_market_export,3,needs_contact_enrichment
,Steeves & Rozema Group,Rental real estate contact,,5193510003,Chatham-Kent | Kitchener,chatham_kent | waterloo_region,rental,rental_company,Rental Real Estate,listing_market_export,2,direct_contact_available
,Value Insight Realty.,Commercial real estate contact,,,Forest | Strathroy | Windsor,forest | london_middlesex | windsor_essex,commercial,commercial_company,Commercial Real Estate,listing_market_export,3,needs_contact_enrichment
,Culpana Group. Inc,Commercial real estate contact,,,Amherstburg | Ilderton | Kingsville | London | Petrolia | Windsor,london_middlesex | sarnia_lambton_county | windsor_essex,commercial,commercial_company,Commercial Real Estate,listing_market_export,11,needs_contact_enrichment
,CENTURY 21 Leading Edge Realty Inc. Brokerage,Commercial real estate contact,,,London | Sarnia,london_middlesex | sarnia_lambton_county,commercial_and_rental,commercial_company,Commercial Real Estate,listing_market_export,2,needs_contact_enrichment
,Avison Young - CA - ON - Greater Toronto,Commercial real estate contact,,,London | Windsor,london_middlesex | windsor_essex,commercial,commercial_company,Commercial Real Estate,listing_market_export,2,needs_contact_enrichment
,Avison Young Southwestern Ontario,Commercial real estate contact,,,London | Windsor,london_middlesex | windsor_essex,commercial,commercial_company,Commercial Real Estate,listing_market_export,27,needs_contact_enrichment
,Platinum Gate Realty,Rental real estate contact,,,London | Windsor,london_middlesex | windsor_essex,rental,rental_company,Rental Real Estate,listing_market_export,3,needs_contact_enrichment
,2804902 ONTARIO INC.,Rental real estate contact,,(519) 933-1707,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,2,direct_contact_available
,99HOMES REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,3,needs_contact_enrichment
,ANJIA REALTY,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,Aura GOC,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,2,needs_contact_enrichment
,Avanew,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,AXIS REALTY BROKERAGE INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,BAY STREET GROUP INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,CENTURY 21 GREEN REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,2,needs_contact_enrichment
,CENTURY 21 MYPRO REALTY,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,2,needs_contact_enrichment
,CENTURY 21 PEOPLE`S CHOICE REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,2,needs_contact_enrichment
,CENTURY 21 PROPERTY ZONE REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,CENTURY 21 RED STAR REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,CITYSCAPE REAL ESTATE LTD.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,"Coldwell Banker Commercial Peter Benninger Realty, Brokerage",Commercial real estate contact,,,London,london_middlesex,commercial,commercial_company,Commercial Real Estate,listing_market_export,2,needs_contact_enrichment
,COLDWELL BANKER DREAM CITY REALTY,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,"D. W. Gould Realty Advisors Inc., Brokerage",Commercial real estate contact,,,London,london_middlesex,commercial,commercial_company,Commercial Real Estate,listing_market_export,4,needs_contact_enrichment
,FIRST CLASS REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,Gold Estate Realty Inc.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,2,needs_contact_enrichment
,Harrison Carter Group,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,10,needs_contact_enrichment
,HC REALTY GROUP INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,2,needs_contact_enrichment
